state,district,total,Obama,Romney,winner
KS,Labette,7907,38.87694447957506,59.03629695206779,Romney
KS,Lane,917,18.538713195201744,79.82551799345694,Romney
KS,Leavenworth,28532,38.805551661292576,58.96887705032945,Romney
KS,Lincoln,1459,19.465387251542147,78.6840301576422,Romney
KS,Linn,4294,25.80344666977177,71.7047042384723,Romney
KS,Logan,1302,14.90015360983103,83.25652841781874,Romney
KS,Lyon,11614,42.8104012398829,54.744274151885655,Romney
KS,McPherson,12060,28.05970149253732,69.64344941956882,Romney
KS,Marion,5368,25.540238450074515,72.00074515648286,Romney
KS,Marshall,4679,31.01089976490703,66.74503098952768,Romney
KS,Meade,1648,15.412621359223301,84.5873786407767,Romney
KS,Miami,14642,31.65551154213905,66.42535172790603,Romney
KS,Mitchell,2923,19.705781731098188,78.44680123161136,Romney
KS,Montgomery,12093,28.1650541635657,69.60224923509469,Romney
KS,Morris,2526,27.90973871733968,69.27949326999209,Romney
KS,Morton,1247,14.434643143544507,84.20208500400963,Romney
KS,Nemaha,4959,19.923371647509576,78.20125025206694,Romney
KS,Neosho,6359,31.64019499921371,65.93804057241705,Romney
KS,Ness,1417,14.890613973182779,83.9802399435427,Romney
KS,Norton,2296,17.116724738675963,80.79268292682926,Romney
KS,Osage,6771,32.905036183724704,64.03780830010338,Romney
KS,Osborne,1802,17.758046614872363,80.35516093229744,Romney
KS,Ottawa,2888,18.975069252077557,78.25484764542936,Romney
KS,Pawnee,2565,27.44639376218323,70.48732943469786,Romney
KS,Phillips,2537,14.820654316121404,83.40559716200238,Romney
KS,Pottawatomie,9303,24.626464581317855,71.93378480060196,Romney
KS,Pratt,3752,25.95948827292111,72.76119402985077,Romney
KS,Rawlins,1420,12.957746478873238,85.0,Romney
KS,Reno,23869,33.04704847291466,64.51045288868407,Romney
KS,Republic,2640,17.803030303030305,79.46969696969697,Romney
KS,Rice,3622,24.82054113749309,72.63942573163996,Romney
KS,Riley,20266,42.37145958748643,55.05279778940096,Romney
KS,Rooks,2625,15.161904761904767,82.24761904761905,Romney
KS,Rush,1549,23.305358295674626,74.30600387346675,Romney
KS,Russell,3140,18.59872611464968,79.77707006369427,Romney
KS,Saline,21102,32.74571130698512,64.90853947493129,Romney
KS,Scott,2019,13.42248637939574,84.29915799900941,Romney
KS,Sedgwick,177852,39.006027483525635,58.70667746215955,Romney
KS,Seward,4955,28.11301715438951,70.53481331987891,Romney
KS,Shawnee,74844,48.04526748971193,49.73812196034418,Romney
KS,Sheridan,1320,12.5,86.06060606060606,Romney
KS,Sherman,2606,22.06446661550268,75.47966231772833,Romney
KS,Smith,1983,17.39788199697428,80.58497226424609,Romney
KS,Stafford,1833,21.98581560283688,75.39552645935625,Romney
KS,Stanton,713,18.93408134642356,80.08415147265076,Romney
KS,Stevens,1998,12.062062062062061,86.28628628628628,Romney
KS,Sumner,8989,29.11336077427968,68.55045055067305,Romney
KS,Thomas,3388,17.001180637544273,80.54899645808736,Romney
KS,Trego,1544,18.717616580310878,79.66321243523315,Romney
KS,Wabaunsee,3229,28.12016104056984,69.06162898730257,Romney
KS,Wallace,781,8.706786171574905,89.88476312419974,Romney
KS,Washington,2863,17.988124345092558,80.33531260915125,Romney
KS,Wichita,987,15.906788247213779,83.18135764944277,Romney
KS,Wilson,3699,21.978913219789128,76.0205460935388,Romney
KS,Woodson,1435,26.27177700348432,71.77700348432056,Romney
KS,Wyandotte,49422,67.30808142122942,30.903241471409487,Obama
KY,Adair,7600,21.842105263157894,76.85526315789474,Romney
KY,Allen,7099,25.468375827581355,73.02436962952528,Romney
KY,Anderson,10318,32.12831944175228,66.11746462492731,Romney
KY,Ballard,3895,30.52631578947368,67.95892169448011,Romney
KY,Barren,16565,32.59885300332026,65.93419861153033,Romney
KY,Bath,4122,42.940320232896646,55.1916545366327,Romney
KY,Bell,9482,23.454967306475428,75.16346762286437,Romney
KY,Boone,52495,29.770454328983718,68.42556433946089,Romney
KY,Bourbon,7909,38.879757238588944,59.32481982551524,Romney
KY,Boyd,19040,40.840336134453786,57.15861344537815,Romney
KY,Boyle,12368,36.14974126778785,62.28169469598966,Romney
KY,Bracken,3230,35.510835913312704,62.81733746130032,Romney
KY,Breathitt,5008,31.19009584664537,66.25399361022363,Romney
KY,Breckinridge,7967,35.458767415589314,63.07267478348186,Romney
KY,Bullitt,31775,31.380015735641226,67.05271439811172,Romney
KY,Butler,5058,25.563463819691574,73.4677738236457,Romney
KY,Caldwell,5860,31.60409556313993,66.62116040955631,Romney
KY,Calloway,15064,35.2761550716941,62.65268189060011,Romney
