,max_temp,rainfall,snowfall,bike_rides,month,holiday,weekend
2016-04-27,67,0.0,0.0,252,4,False,False
2016-04-28,55,0.21,0.0,90,4,False,False
2016-04-29,57,0.0001,0.0,180,4,False,False
2016-04-30,66,0.22,0.0,342,4,False,True
2016-05-01,74,0.28,0.0,354,5,False,True
2016-05-02,67,0.67,0.0,267,5,False,False
2016-05-03,64,0.0,0.0,297,5,False,False
2016-05-04,63,0.04,0.0,201,5,False,False
2016-05-05,65,0.05,0.0,150,5,False,False
2016-05-06,70,0.0001,0.0,236,5,False,False
2016-05-07,73,0.12,0.0,313,5,False,True
2016-05-08,65,0.0001,0.0,346,5,False,True
2016-05-09,56,0.0001,0.0,182,5,False,False
2016-05-10,69,0.22,0.0,164,5,False,False
2016-05-11,74,0.01,0.0,229,5,False,False
2016-05-12,79,0.25,0.0,251,5,False,False
2016-05-13,70,0.16,0.0,299,5,False,False
2016-05-14,57,0.27,0.0,102,5,False,True
2016-05-15,50,0.01,0.001,109,5,False,True
2016-05-16,63,0.0,0.0,259,5,False,False
2016-05-17,62,0.0001,0.0,212,5,False,False
2016-05-18,60,0.14,0.0,214,5,False,False
2016-05-19,70,0.0,0.0,281,5,False,False
2016-05-20,74,0.03,0.0,546,5,False,False
2016-05-21,58,1.09,0.0,60,5,False,True
2016-05-22,68,0.26,0.0,163,5,False,True
2016-05-23,79,0.01,0.0,271,5,False,False
2016-05-24,80,0.0,0.0,372,5,False,False
2016-05-25,82,0.0,0.0,341,5,False,False
2016-05-26,82,0.0,0.0,326,5,False,False
2016-05-27,87,0.0,0.0,334,5,False,False
2016-05-28,88,0.0,0.0,446,5,False,True
2016-05-29,82,0.0001,0.0,642,5,False,True
2016-05-30,83,0.0,0.0,468,5,True,False
2016-05-31,87,0.0,0.0,306,5,False,False
2016-06-01,88,0.0001,0.0,322,6,False,False
2016-06-02,85,0.25,0.0,216,6,False,False
2016-06-03,84,0.08,0.0,320,6,False,False
2016-06-04,80,0.05,0.0,394,6,False,True
2016-06-05,76,0.26,0.0,218,6,False,True
2016-06-06,81,0.65,0.0,260,6,False,False
2016-06-07,72,0.0001,0.0,390,6,False,False
2016-06-08,66,0.01,0.0,292,6,False,False
2016-06-09,72,0.0,0.0,420,6,False,False
2016-06-10,81,0.0,0.0,425,6,False,False
2016-06-11,90,0.0,0.0,440,6,False,True
2016-06-12,80,0.0,0.0,553,6,False,True
2016-06-13,77,0.0,0.0,300,6,False,False
2016-06-14,80,0.0,0.0,333,6,False,False
2016-06-15,87,0.2,0.0,427,6,False,False
2016-06-16,78,1.07,0.0,155,6,False,False
2016-06-17,82,0.01,0.0,327,6,False,False
2016-06-18,86,0.0,0.0,473,6,False,True
2016-06-19,84,0.0,0.0,370,6,False,True
2016-06-20,89,0.0,0.0,297,6,False,False
2016-06-21,85,0.0,0.0,310,6,False,False
2016-06-22,83,0.0001,0.0,365,6,False,False
2016-06-23,72,0.51,0.0,159,6,False,False
2016-06-24,84,0.0,0.0,309,6,False,False
2016-06-25,87,0.0,0.0,415,6,False,True
2016-06-26,92,0.0,0.0,674,6,False,True
2016-06-27,89,0.01,0.0,258,6,False,False
2016-06-28,82,0.0,0.0,343,6,False,False
2016-06-29,74,0.0,0.0,361,6,False,False
2016-06-30,81,0.0,0.0,410,6,False,False
2016-07-01,81,0.13,0.0,331,7,False,False
2016-07-02,73,0.0,0.0,546,7,False,True
2016-07-03,75,0.0,0.0,468,7,False,True
2016-07-04,76,0.23,0.0,335,7,True,False
2016-07-05,86,0.05,0.0,227,7,False,False
2016-07-06,87,0.09,0.0,272,7,False,False
2016-07-07,86,0.01,0.0,265,7,False,False
2016-07-08,86,0.0,0.0,326,7,False,False
2016-07-09,83,0.0001,0.0,836,7,False,True
2016-07-10,84,0.0,0.0,531,7,False,True
2016-07-11,88,0.0,0.0,331,7,False,False
2016-07-12,90,0.0,0.0,320,7,False,False
2016-07-13,88,0.0001,0.0,232,7,False,False
2016-07-14,88,0.41,0.0,298,7,False,False
2016-07-15,85,0.0,0.0,267,7,False,False
2016-07-16,84,0.0,0.0,554,7,False,True
2016-07-17,86,0.0,0.0,386,7,False,True
2016-07-18,87,0.01,0.0,266,7,False,False
2016-07-19,87,0.0,0.0,348,7,False,False
2016-07-20,85,0.0,0.0,340,7,False,False
2016-07-21,91,0.0,0.0,311,7,False,False
2016-07-22,88,0.5,0.0,281,7,False,False
2016-07-23,92,0.0001,0.0,373,7,False,True
2016-07-24,91,0.36,0.0,270,7,False,True
2016-07-25,93,0.02,0.0,268,7,False,False
2016-07-26,89,0.0,0.0,309,7,False,False
2016-07-27,90,0.0001,0.0,274,7,False,False
2016-07-28,76,0.38,0.0,163,7,False,False
2016-07-29,85,0.0,0.0,276,7,False,False
2016-07-30,81,0.85,0.0,181,7,False,True
2016-07-31,85,0.08,0.0,579,7,False,True
2016-08-01,87,0.03,0.0,237,8,False,False
2016-08-02,88,0.0,0.0,306,8,False,False
2016-08-03,87,0.0,0.0,313,8,False,False
2016-08-04,84,0.0001,0.0,300,8,False,False
2016-08-05,87,0.11,0.0,342,8,False,False
2016-08-06,83,0.08,0.0,484,8,False,True
2016-08-07,85,0.0,0.0,444,8,False,True
2016-08-08,85,0.0,0.0,260,8,False,False
2016-08-09,88,0.0001,0.0,275,8,False,False
2016-08-10,87,0.01,0.0,215,8,False,False
2016-08-11,91,0.02,0.0,268,8,False,False
2016-08-12,90,0.81,0.0,187,8,False,False
2016-08-13,90,0.26,0.0,233,8,False,True
2016-08-14,81,0.42,0.0,121,8,False,True
2016-08-15,80,0.11,0.0,202,8,False,False
2016-08-16,88,0.32,0.0,171,8,False,False
2016-08-17,76,0.47,0.0,168,8,False,False
2016-08-18,85,0.0,0.0,261,8,False,False
2016-08-19,85,0.0,0.0,274,8,False,False
2016-08-20,86,0.0001,0.0,465,8,False,True
2016-08-21,77,0.2,0.0,263,8,False,True
2016-08-22,77,0.0,0.0,269,8,False,False
2016-08-23,81,0.0,0.0,366,8,False,False
2016-08-24,85,0.0,0.0,336,8,False,False
2016-08-25,88,0.37,0.0,255,8,False,False
2016-08-26,87,0.0,0.0,268,8,False,False
2016-08-27,89,0.0,0.0,354,8,False,True
2016-08-28,89,0.0,0.0,263,8,False,True
2016-08-29,87,0.0,0.0,269,8,False,False
2016-08-30,88,0.0,0.0,264,8,False,False
2016-08-31,85,0.08,0.0,245,8,False,False
2016-09-01,79,0.0,0.0,262,9,False,False
2016-09-02,77,0.0,0.0,319,9,False,False
2016-09-03,79,0.0,0.0,410,9,False,True
2016-09-04,83,0.0,0.0,513,9,False,True
2016-09-05,86,0.0,0.0,462,9,True,False
2016-09-06,88,0.0001,0.0,274,9,False,False
2016-09-07,87,0.19,0.0,279,9,False,False
2016-09-08,88,0.05,0.0,259,9,False,False
2016-09-09,80,0.65,0.0,230,9,False,False
2016-09-10,89,0.13,0.0,483,9,False,True
